F0final_sma audspec_lengthl1norm_sma
F0final_sma_de audspec_lengthl1norm_sma_de
audSpec_Rfilt_sma(0) audspec_rfilt_sma_0
audSpec_Rfilt_sma(1) audspec_rfilt_sma_1
audSpec_Rfilt_sma(10) audspec_rfilt_sma_10
audSpec_Rfilt_sma(11) audspec_rfilt_sma_11
audSpec_Rfilt_sma(12) audspec_rfilt_sma_12
audSpec_Rfilt_sma(13) audspec_rfilt_sma_13
audSpec_Rfilt_sma(14) audspec_rfilt_sma_14
audSpec_Rfilt_sma(15) audspec_rfilt_sma_15
audSpec_Rfilt_sma(16) audspec_rfilt_sma_16
audSpec_Rfilt_sma(17) audspec_rfilt_sma_17
audSpec_Rfilt_sma(18) audspec_rfilt_sma_18
audSpec_Rfilt_sma(19) audspec_rfilt_sma_19
audSpec_Rfilt_sma(2) audspec_rfilt_sma_2
audSpec_Rfilt_sma(20) audspec_rfilt_sma_20
audSpec_Rfilt_sma(21) audspec_rfilt_sma_21
audSpec_Rfilt_sma(22) audspec_rfilt_sma_22
audSpec_Rfilt_sma(23) audspec_rfilt_sma_23
audSpec_Rfilt_sma(24) audspec_rfilt_sma_24
audSpec_Rfilt_sma(25) audspec_rfilt_sma_25
audSpec_Rfilt_sma(3) audspec_rfilt_sma_3
audSpec_Rfilt_sma(4) audspec_rfilt_sma_4
audSpec_Rfilt_sma(5) audspec_rfilt_sma_5
audSpec_Rfilt_sma(6) audspec_rfilt_sma_6
audSpec_Rfilt_sma(7) audspec_rfilt_sma_7
audSpec_Rfilt_sma(8) audspec_rfilt_sma_8
audSpec_Rfilt_sma(9) audspec_rfilt_sma_9
audSpec_Rfilt_sma_de(0) audspec_rfilt_sma_de_0
audSpec_Rfilt_sma_de(1) audspec_rfilt_sma_de_1
audSpec_Rfilt_sma_de(10) audspec_rfilt_sma_de_10
audSpec_Rfilt_sma_de(11) audspec_rfilt_sma_de_11
audSpec_Rfilt_sma_de(12) audspec_rfilt_sma_de_12
audSpec_Rfilt_sma_de(13) audspec_rfilt_sma_de_13
audSpec_Rfilt_sma_de(14) audspec_rfilt_sma_de_14
audSpec_Rfilt_sma_de(15) audspec_rfilt_sma_de_15
audSpec_Rfilt_sma_de(16) audspec_rfilt_sma_de_16
audSpec_Rfilt_sma_de(17) audspec_rfilt_sma_de_17
audSpec_Rfilt_sma_de(18) audspec_rfilt_sma_de_18
audSpec_Rfilt_sma_de(19) audspec_rfilt_sma_de_19
audSpec_Rfilt_sma_de(2) audspec_rfilt_sma_de_2
audSpec_Rfilt_sma_de(20) audspec_rfilt_sma_de_20
audSpec_Rfilt_sma_de(21) audspec_rfilt_sma_de_21
audSpec_Rfilt_sma_de(22) audspec_rfilt_sma_de_22
audSpec_Rfilt_sma_de(23) audspec_rfilt_sma_de_23
audSpec_Rfilt_sma_de(24) audspec_rfilt_sma_de_24
audSpec_Rfilt_sma_de(25) audspec_rfilt_sma_de_25
audSpec_Rfilt_sma_de(3) audspec_rfilt_sma_de_3
audSpec_Rfilt_sma_de(4) audspec_rfilt_sma_de_4
audSpec_Rfilt_sma_de(5) audspec_rfilt_sma_de_5
audSpec_Rfilt_sma_de(6) audspec_rfilt_sma_de_6
audSpec_Rfilt_sma_de(7) audspec_rfilt_sma_de_7
audSpec_Rfilt_sma_de(8) audspec_rfilt_sma_de_8
audSpec_Rfilt_sma_de(9) audspec_rfilt_sma_de_9
audspecRasta_lengthL1norm_sma audspecrasta_lengthl1norm_sma
audspecRasta_lengthL1norm_sma_de audspecrasta_lengthl1norm_sma_de
audspec_lengthL1norm_sma f0final_sma
audspec_lengthL1norm_sma_de f0final_sma_de
jitterDDP_sma jitterddp_sma
jitterDDP_sma_de jitterddp_sma_de
jitterLocal_sma jitterlocal_sma
jitterLocal_sma_de jitterlocal_sma_de
logHNR_sma loghnr_sma
logHNR_sma_de loghnr_sma_de
mfcc_sma(1) mfcc_sma_1
mfcc_sma(10) mfcc_sma_10
mfcc_sma(11) mfcc_sma_11
mfcc_sma(12) mfcc_sma_12
mfcc_sma(13) mfcc_sma_13
mfcc_sma(14) mfcc_sma_14
mfcc_sma(2) mfcc_sma_2
mfcc_sma(3) mfcc_sma_3
mfcc_sma(4) mfcc_sma_4
mfcc_sma(5) mfcc_sma_5
mfcc_sma(6) mfcc_sma_6
mfcc_sma(7) mfcc_sma_7
mfcc_sma(8) mfcc_sma_8
mfcc_sma(9) mfcc_sma_9
mfcc_sma_de(1) mfcc_sma_de_1
mfcc_sma_de(10) mfcc_sma_de_10
mfcc_sma_de(11) mfcc_sma_de_11
mfcc_sma_de(12) mfcc_sma_de_12
mfcc_sma_de(13) mfcc_sma_de_13
mfcc_sma_de(14) mfcc_sma_de_14
mfcc_sma_de(2) mfcc_sma_de_2
mfcc_sma_de(3) mfcc_sma_de_3
mfcc_sma_de(4) mfcc_sma_de_4
mfcc_sma_de(5) mfcc_sma_de_5
mfcc_sma_de(6) mfcc_sma_de_6
mfcc_sma_de(7) mfcc_sma_de_7
mfcc_sma_de(8) mfcc_sma_de_8
mfcc_sma_de(9) mfcc_sma_de_9
shimmerLocal_sma shimmerlocal_sma
shimmerLocal_sma_de shimmerlocal_sma_de
voicingFinalUnclipped_sma voicingfinalunclipped_sma
voicingFinalUnclipped_sma_de voicingfinalunclipped_sma_de
wave_RMSenergy_sma wave_fftmag_fband1000_4000_sma
wave_RMSenergy_sma_de wave_fftmag_fband1000_4000_sma_de
wave_fftMag_fband1000-4000_sma wave_fftmag_fband250_650_sma
wave_fftMag_fband1000-4000_sma_de wave_fftmag_fband250_650_sma_de
wave_fftMag_fband250-650_sma wave_fftmag_psysharpness_sma
wave_fftMag_fband250-650_sma_de wave_fftmag_psysharpness_sma_de
wave_fftMag_psySharpness_sma wave_fftmag_spectralcentroid_sma
wave_fftMag_psySharpness_sma_de wave_fftmag_spectralcentroid_sma_de
wave_fftMag_spectralCentroid_sma wave_fftmag_spectralentropy_sma
wave_fftMag_spectralCentroid_sma_de wave_fftmag_spectralentropy_sma_de
wave_fftMag_spectralEntropy_sma wave_fftmag_spectralflux_sma
wave_fftMag_spectralEntropy_sma_de wave_fftmag_spectralflux_sma_de
wave_fftMag_spectralFlux_sma wave_fftmag_spectralharmonicity_sma
wave_fftMag_spectralFlux_sma_de wave_fftmag_spectralharmonicity_sma_de
wave_fftMag_spectralHarmonicity_sma wave_fftmag_spectralkurtosis_sma
wave_fftMag_spectralHarmonicity_sma_de wave_fftmag_spectralkurtosis_sma_de
wave_fftMag_spectralKurtosis_sma wave_fftmag_spectralrolloff25_0_sma
wave_fftMag_spectralKurtosis_sma_de wave_fftmag_spectralrolloff25_0_sma_de
wave_fftMag_spectralRollOff25.0_sma wave_fftmag_spectralrolloff50_0_sma
wave_fftMag_spectralRollOff25.0_sma_de wave_fftmag_spectralrolloff50_0_sma_de
wave_fftMag_spectralRollOff50.0_sma wave_fftmag_spectralrolloff75_0_sma
wave_fftMag_spectralRollOff50.0_sma_de wave_fftmag_spectralrolloff75_0_sma_de
wave_fftMag_spectralRollOff75.0_sma wave_fftmag_spectralrolloff90_0_sma
wave_fftMag_spectralRollOff75.0_sma_de wave_fftmag_spectralrolloff90_0_sma_de
wave_fftMag_spectralRollOff90.0_sma wave_fftmag_spectralskewness_sma
wave_fftMag_spectralRollOff90.0_sma_de wave_fftmag_spectralskewness_sma_de
wave_fftMag_spectralSkewness_sma wave_fftmag_spectralslope_sma
wave_fftMag_spectralSkewness_sma_de wave_fftmag_spectralslope_sma_de
wave_fftMag_spectralSlope_sma wave_fftmag_spectralvariance_sma
wave_fftMag_spectralSlope_sma_de wave_fftmag_spectralvariance_sma_de
wave_fftMag_spectralVariance_sma wave_rmsenergy_sma
wave_fftMag_spectralVariance_sma_de wave_rmsenergy_sma_de
wave_zcr_sma wave_zcr_sma
wave_zcr_sma_de wave_zcr_sma_de
